epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,1111.98,0.58175,0.51301,0.97506,0.9945,0.97186,0.98309,0.89488,0.43667,0.27834,0.8841,9.19632e-05,9.19632e-05,9.19632e-05
90,1124.38,0.57913,0.51044,0.97359,0.99528,0.97018,0.98255,0.8943,0.43737,0.27694,0.88491,8.48946e-05,8.48946e-05,8.48946e-05
91,1138.28,0.49264,0.36637,0.92097,0.98975,0.9739,0.98225,0.88146,0.46809,0.29391,0.89814,7.7826e-05,7.7826e-05,7.7826e-05
92,1149.99,0.47706,0.34906,0.90464,0.98884,0.97269,0.98291,0.88649,0.45734,0.28673,0.89428,7.07574e-05,7.07574e-05,7.07574e-05
93,1161.43,0.45608,0.34314,0.90653,0.99034,0.97037,0.98322,0.89129,0.44604,0.28082,0.89086,6.36888e-05,6.36888e-05,6.36888e-05
94,1172.84,0.45016,0.33747,0.90059,0.99265,0.96804,0.98356,0.8921,0.44272,0.27901,0.8895,5.66202e-05,5.66202e-05,5.66202e-05
95,1184.24,0.44874,0.33182,0.89687,0.98954,0.97331,0.98334,0.89411,0.43645,0.27714,0.88582,4.95516e-05,4.95516e-05,4.95516e-05
96,1196.24,0.44258,0.32844,0.89269,0.99256,0.97225,0.98328,0.8901,0.44736,0.27771,0.89074,4.2483e-05,4.2483e-05,4.2483e-05
97,1207.93,0.44636,0.3345,0.89763,0.99216,0.96885,0.98319,0.8932,0.43776,0.27464,0.88572,3.54144e-05,3.54144e-05,3.54144e-05
98,1219.51,0.43487,0.32324,0.89327,0.99045,0.96919,0.98308,0.89262,0.43745,0.27418,0.88589,2.83458e-05,2.83458e-05,2.83458e-05
99,1231.04,0.43808,0.32751,0.89547,0.99286,0.97004,0.98335,0.89487,0.43597,0.27311,0.88523,2.12772e-05,2.12772e-05,2.12772e-05
100,1242.52,0.42811,0.32282,0.89104,0.99298,0.97201,0.98331,0.89448,0.43287,0.27183,0.88477,1.42086e-05,1.42086e-05,1.42086e-05
